epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,111.092,0.96376,0.48195,0.98399,0.9755,1,0.99195,0.58425,1.40924,0.5753,1.23811,0.000614,0.000614,0.000614
44,112.83,1.0426,0.52723,1.02062,0.97524,1,0.99058,0.59342,1.42238,0.56722,1.2386,0.000581,0.000581,0.000581
45,114.632,0.93285,0.48273,0.98897,0.97524,1,0.99058,0.59342,1.42238,0.56722,1.2386,0.000548,0.000548,0.000548
46,116.412,1.00947,0.52622,1.02513,0.97493,1,0.98949,0.5869,1.43474,0.58167,1.25586,0.000515,0.000515,0.000515
47,119.748,1.01458,0.51561,1.0336,0.97525,1,0.9874,0.56661,1.42659,0.57465,1.25208,0.000482,0.000482,0.000482
48,122.299,0.95513,0.48916,1.00621,0.98835,0.9982,0.98826,0.59246,1.38173,0.55272,1.21996,0.000449,0.000449,0.000449
49,124.012,0.9514,0.51486,1.03475,0.98835,0.9982,0.98826,0.59246,1.38173,0.55272,1.21996,0.000416,0.000416,0.000416
50,125.791,0.92925,0.48555,0.98738,0.98584,1,0.98849,0.6108,1.37669,0.53677,1.21161,0.000383,0.000383,0.000383
51,131.63,0.88862,0.4717,0.97679,0.98713,1,0.99012,0.61954,1.37689,0.51399,1.21204,0.00035,0.00035,0.00035
52,135.804,0.89657,0.48929,0.96195,0.9874,1,0.99163,0.61033,1.38735,0.51265,1.2234,0.000317,0.000317,0.000317
53,137.696,0.89318,0.43033,0.98764,0.9874,1,0.99163,0.61033,1.38735,0.51265,1.2234,0.000284,0.000284,0.000284
54,139.395,0.83954,0.43044,0.96785,0.98687,1,0.9914,0.61104,1.40068,0.51642,1.23896,0.000251,0.000251,0.000251
55,141.049,0.85114,0.43985,0.99006,0.98711,1,0.98756,0.60029,1.43126,0.52082,1.26105,0.000218,0.000218,0.000218
56,142.984,0.8565,0.46424,0.95591,0.98712,1,0.98616,0.58,1.45587,0.52075,1.27981,0.000185,0.000185,0.000185
57,144.669,0.80456,0.41692,0.97105,0.98712,1,0.98616,0.58,1.45587,0.52075,1.27981,0.000152,0.000152,0.000152
58,146.618,0.82484,0.41244,0.94673,0.98711,1,0.98488,0.572,1.45442,0.52029,1.2823,0.000119,0.000119,0.000119
59,148.924,0.81788,0.42169,0.95887,0.98703,1,0.98453,0.57828,1.45185,0.52142,1.28112,8.6e-05,8.6e-05,8.6e-05
60,150.604,0.80834,0.41684,0.96059,0.9869,1,0.98465,0.57061,1.45549,0.52079,1.28272,5.3e-05,5.3e-05,5.3e-05
